water_management_name,quotas_subject
"""Миасс от г. Челябинск до устья""","""Курганская область"""
"""Реки западного участка бассейна Обской губы""","""Ямало-Ненецкий автономный округ"""
"""Реж (без р.Аять от истока до Аятского г/у) и Нейва (от Невьянского г/у) до их слияния""","""Свердловская область"""
"""Волга от г.Кострома до Горьковского г/у (Горьковское в-ще) без р.Унжа""","""Ивановская область"""
"""Пышма от истока до Белоярского г/у""","""Свердловская область"""
"""Пышма от Белоярского г/у до устья без р. Рефт от истока до Рефтинского г/у""","""Тюменская область"""
"""Бассейны рек южной части оз.Байкал в междуречье рек Селенга и Ангара""","""Республика Бурятия"""
"""Тавда от истока до устья без р. Сосьва от истока до в/п д. Морозково""","""Свердловская область"""
"""оз. Кубенское и р.Сухона от истока до Кубенского г/у""","""Вологодская область"""
"""Упа от истока до устья""","""Тульская область"""
"""Иркутское в-ще (включая оз. Байкал и р. Ангара от истока до Иркутского г/у)""","""Республика Бурятия"""
"""Десна от г/у Смоленской АЭС до г. Брянск без р.Болва""","""Калужская область"""
"""Кемь от Юшкозерского г/у до Кривопорожского г/у""","""Республика Карелия"""
"""Реки бассейна Карского моря от восточной границы бассейна р. Надым до северо-западной границы бассейна р. Пур""","""Ямало-Ненецкий автономный округ"""
"""Десна от г/у Смоленской АЭС до г. Брянск без р.Болва""","""Брянская область"""
"""Кемь от Кривопорожского г/у до устья""","""Республика Карелия"""
"""Ока от г. Калуга до г. Серпухов без рр.Протва и Нара""","""Московская область"""
"""Обь от впадения р. Северная Сосьва до г. Салехард""","""Ямало-Ненецкий автономный округ"""
"""Острова Белого моря в пределах внутренних морских вод и территориального моря РФ, прилегающего к береговой линии гидрографической единицы 03.01.00 (вкл. Соловецкие о-ва)""","""Архангельская область"""
"""Свирь от истока до Нижнесвирского г/у""","""Ленинградская область"""
"""Свирь от истока до Нижнесвирского г/у""","""Республика Карелия"""
"""Бассейн оз. Ильмень без рр. Мста, Ловать, Пола и Шелонь""","""Новгородская область"""
"""Десна от истока до г/у Смоленской АЭС""","""Смоленская область"""
"""Российская часть бассейна р. Днепр ниже г. Смоленск""","""Смоленская область"""
"""Печора от в/п Усть-Цильма до устья""","""Ненецкий автономный округ"""
"""Печора от в/п п.Шердино до впадения р. Уса""","""Республика Коми"""
"""Мезень от в/п д. Малонисогорская до устья""","""Архангельская область"""
"""Острова Белого моря в пределах внутренних морских вод и территориального моря РФ, прилегающего к береговой линии гидрографической единицы 03.02.03""","""Архангельская область"""
"""Реки бассейна Белого моря от северо-восточной границы р. Золотица до мыса Воронов без р. Северная Двина""","""Архангельская область"""
"""Северная Двина от впадения р. Вага до устья без р. Пинега""","""Архангельская область"""
"""Северная Двина от впадения р. Вычегда до впадения р. Вага""","""Архангельская область"""
"""Тура от впадения р.Тагил до устья без рр. Тагил, Ница и Пышма""","""Свердловская область"""
"""Иртыш от впадения р.Тобол до г. Ханты-Мансийск (выше) без р. Конда""","""Ханты-Мансийский автономный округ - Югра"""
"""оз. Кубенское и р.Сухона от истока до Кубенского г/у""","""Архангельская область"""
"""Реки бассейна Онежской губы от западной границы бассейна р. Унежма до северо-восточной границы бассейна р. Золотица без р. Онега""","""Архангельская область"""
"""Волга от Чебоксарского г/у до г. Казань без рр.Свияга и Цивиль""","""Республика Татарстан"""
"""Северная Сосьва""","""Ханты-Мансийский автономный округ - Югра"""
"""Ангара от Иркутского г/у до впадения р. Белая без рр.Иркут, Китой""","""Иркутская область"""
"""Индигирка от впадения Момы до в/п Белая Гора""","""Республика Саха (Якутия)"""
"""Реки бассейна Карского моря от западной границы бассейна р. Бол. Ою до мыса Скуратова""","""Ямало-Ненецкий автономный округ"""
"""Реки бассейна Карского моря от западной границы бассейна р. Бол. Ою до мыса Скуратова""","""Ненецкий автономный округ"""
"""Ангара от Усть-Илимского г/у до Богучанского г/у""","""Иркутская область"""
"""Бассейны рек южной части оз.Байкал в междуречье рек Селенга и Ангара""","""Иркутская область"""
"""Тура от впадения р.Тагил до устья без рр. Тагил, Ница и Пышма""","""Тюменская область"""
"""Пышма от Белоярского г/у до устья без р. Рефт от истока до Рефтинского г/у""","""Свердловская область"""
"""Ница от слияния рек Реж и Нейва до устья""","""Свердловская область"""
"""Тагил от г. Нижний Тагил до устья""","""Свердловская область"""
"""Черная от истока до Черноисточинского г/у""","""Свердловская область"""
"""Енисей от истока до Саяно-Шушенского г/у""","""Республика Хакасия"""
"""Исеть от впадения р.Теча до устья без р. Миасс""","""Тюменская область"""
"""Исеть от г. Екатеринбург до впадения р.Теча""","""Курганская область"""
